"Word" "Score"
"138" "apathetic" -3
"139" "apathy" -3
"140" "apeshit" -3
"141" "apocalyptic" -2
"142" "apologise" -1
"143" "apologised" -1
"144" "apologises" -1
"145" "apologising" -1
"146" "apologize" -1
"147" "apologized" -1
"148" "apologizes" -1
"149" "apologizing" -1
"150" "apology" -1
"151" "appalled" -2
"152" "appalling" -2
"153" "appease" 2
"154" "appeased" 2
"155" "appeases" 2
"156" "appeasing" 2
"157" "applaud" 2
"158" "applauded" 2
"159" "applauding" 2
"160" "applauds" 2
"161" "applause" 2
"162" "appreciate" 2
"163" "appreciated" 2
"164" "appreciates" 2
"165" "appreciating" 2
"166" "appreciation" 2
"167" "apprehensive" -2
"168" "approval" 2
"169" "approved" 2
"170" "approves" 2
"171" "ardent" 1
"172" "arrest" -2
"173" "arrested" -3
"174" "arrests" -2
"175" "arrogant" -2
"176" "ashame" -2
"177" "ashamed" -2
"178" "ass" -4
"179" "assassination" -3
"180" "assassinations" -3
"181" "asset" 2
"182" "assets" 2
"183" "assfucking" -4
"184" "asshole" -4
"185" "astonished" 2
"186" "astound" 3
"187" "astounded" 3
"188" "astounding" 3
"189" "astoundingly" 3
"190" "astounds" 3
"191" "attack" -1
"192" "attacked" -1
"193" "attacking" -1
"194" "attacks" -1
"195" "attract" 1
"196" "attracted" 1
"197" "attracting" 2
"198" "attraction" 2
"199" "attractions" 2
"200" "attracts" 1
"201" "audacious" 3
"202" "authority" 1
"203" "avert" -1
"204" "averted" -1
"205" "averts" -1
"206" "avid" 2
"207" "avoid" -1
"208" "avoided" -1
"209" "avoids" -1
"210" "await" -1
"211" "awaited" -1
"212" "awaits" -1
"213" "award" 3
"214" "awarded" 3
"215" "awards" 3
"216" "awesome" 4
"217" "awful" -3
"218" "awkward" -2
"219" "axe" -1
"220" "axed" -1
"221" "backed" 1
"222" "backing" 2
"223" "backs" 1
"224" "bad" -3
"225" "badass" -3
"226" "badly" -3
"227" "bailout" -2
"228" "bamboozle" -2
"229" "bamboozled" -2
"230" "bamboozles" -2
"231" "ban" -2
"232" "banish" -1
"233" "bankrupt" -3
"234" "bankster" -3
"235" "banned" -2
"236" "bargain" 2
"237" "barrier" -2
"238" "bastard" -5
"239" "bastards" -5
"240" "battle" -1
"241" "battles" -1
"242" "beaten" -2
"243" "beatific" 3
"244" "beating" -1
"245" "beauties" 3
"246" "beautiful" 3
"247" "beautifully" 3
"248" "beautify" 3
"249" "belittle" -2
"250" "belittled" -2
"251" "beloved" 3
"252" "benefit" 2
"253" "benefits" 2
"254" "benefitted" 2
"255" "benefitting" 2
"256" "bereave" -2
"257" "bereaved" -2
"258" "bereaves" -2
"259" "bereaving" -2
"260" "best" 3
"261" "betray" -3
"262" "betrayal" -3
"263" "betrayed" -3
"264" "betraying" -3
"265" "betrays" -3
"266" "better" 2
"267" "bias" -1
"268" "biased" -2
"269" "big" 1
"270" "bitch" -5
"271" "bitches" -5
"272" "bitter" -2
"273" "bitterly" -2
"274" "bizarre" -2
"275" "blah" -2
"276" "blame" -2
"277" "blamed" -2
"278" "blames" -2
"279" "blaming" -2
"280" "bless" 2
"281" "blesses" 2
"282" "blessing" 3
"283" "blind" -1
"284" "bliss" 3
"285" "blissful" 3
"286" "blithe" 2
"287" "block" -1
"288" "blockbuster" 3
"289" "blocked" -1
"290" "blocking" -1
"291" "blocks" -1
"292" "bloody" -3
"293" "blurry" -2
"294" "boastful" -2
"295" "bold" 2
"296" "boldly" 2
"297" "bomb" -1
"298" "boost" 1
"299" "boosted" 1
"300" "boosting" 1
"301" "boosts" 1
"302" "bore" -2
"303" "bored" -2
"304" "boring" -3
"305" "bother" -2
"306" "bothered" -2
"307" "bothers" -2
"308" "bothersome" -2
"309" "boycott" -2
"310" "boycotted" -2
"311" "boycotting" -2
"312" "boycotts" -2
"313" "brainwashing" -3
"314" "brave" 2
"315" "breakthrough" 3
"316" "breathtaking" 5
"317" "bribe" -3
"318" "bright" 1
"319" "brightest" 2
"320" "brightness" 1
"321" "brilliant" 4
"322" "brisk" 2
"323" "broke" -1
"324" "broken" -1
"325" "brooding" -2
"326" "bullied" -2
"327" "bullshit" -4
"328" "bully" -2
"329" "bullying" -2
"330" "bummer" -2
"331" "buoyant" 2
"332" "burden" -2
"333" "burdened" -2
"334" "burdening" -2
"335" "burdens" -2
"336" "calm" 2
"337" "calmed" 2
"338" "calming" 2
"339" "calms" 2
"340" "can't stand" -3
"341" "cancel" -1
"342" "cancelled" -1
"343" "cancelling" -1
"344" "cancels" -1
"345" "cancer" -1
"346" "capable" 1
"347" "captivated" 3
"348" "care" 2
"349" "carefree" 1
"350" "careful" 2
"351" "carefully" 2
"352" "careless" -2
"353" "cares" 2
"354" "cashing in" -2
"355" "casualty" -2
"356" "catastrophe" -3
"357" "catastrophic" -4
"358" "cautious" -1
"359" "celebrate" 3
"360" "celebrated" 3
"361" "celebrates" 3
"362" "celebrating" 3
"363" "censor" -2
"364" "censored" -2
"365" "censors" -2
"366" "certain" 1
"367" "chagrin" -2
"368" "chagrined" -2
"369" "challenge" -1
"370" "chance" 2
"371" "chances" 2
"372" "chaos" -2
"373" "chaotic" -2
"374" "charged" -3
"375" "charges" -2
"376" "charm" 3
"377" "charming" 3
"378" "charmless" -3
"379" "chastise" -3
"380" "chastised" -3
"381" "chastises" -3
"382" "chastising" -3
"383" "cheat" -3
"384" "cheated" -3
"385" "cheater" -3
"386" "cheaters" -3
"387" "cheats" -3
"388" "cheer" 2
"389" "cheered" 2
"390" "cheerful" 2
"391" "cheering" 2
"392" "cheerless" -2
"393" "cheers" 2
"394" "cheery" 3
"395" "cherish" 2
"396" "cherished" 2
"397" "cherishes" 2
"398" "cherishing" 2
"399" "chic" 2
"400" "childish" -2
"401" "chilling" -1
"402" "choke" -2
"403" "choked" -2
"404" "chokes" -2
"405" "choking" -2
"406" "clarifies" 2
"407" "clarity" 2
"408" "clash" -2
"409" "classy" 3
"410" "clean" 2
"411" "cleaner" 2
"412" "clear" 1
"413" "cleared" 1
"414" "clearly" 1
"415" "clears" 1
"416" "clever" 2
"417" "clouded" -1
"418" "clueless" -2
"419" "cock" -5
"420" "cocksucker" -5
"421" "cocksuckers" -5
"422" "cocky" -2
"423" "coerced" -2
"424" "collapse" -2
"425" "collapsed" -2
"426" "collapses" -2
"427" "collapsing" -2
"428" "collide" -1
"429" "collides" -1
"430" "colliding" -1
"431" "collision" -2
"432" "collisions" -2
"433" "colluding" -3
"434" "combat" -1
"435" "combats" -1
"436" "comedy" 1
"437" "comfort" 2
"438" "comfortable" 2
"439" "comforting" 2
"440" "comforts" 2
"441" "commend" 2
"442" "commended" 2
"443" "commit" 1
"444" "commitment" 2
"445" "commits" 1
"446" "committed" 1
"447" "committing" 1
"448" "compassionate" 2
"449" "compelled" 1
"450" "competent" 2
"451" "competitive" 2
"452" "complacent" -2
"453" "complain" -2
"454" "complained" -2
"455" "complains" -2
"456" "comprehensive" 2
"457" "conciliate" 2
"458" "conciliated" 2
"459" "conciliates" 2
"460" "conciliating" 2
"461" "condemn" -2
"462" "condemnation" -2
"463" "condemned" -2
"464" "condemns" -2
"465" "confidence" 2
"466" "confident" 2
"467" "conflict" -2
"468" "conflicting" -2
"469" "conflictive" -2
"470" "conflicts" -2
"471" "confuse" -2
"472" "confused" -2
"473" "confusing" -2
"474" "congrats" 2
"475" "congratulate" 2
"476" "congratulation" 2
"477" "congratulations" 2
"478" "consent" 2
"479" "consents" 2
"480" "consolable" 2
"481" "conspiracy" -3
"482" "constrained" -2
"483" "contagion" -2
"484" "contagions" -2
"485" "contagious" -1
"486" "contempt" -2
"487" "contemptuous" -2
"488" "contemptuously" -2
"489" "contend" -1
"490" "contender" -1
"491" "contending" -1
"492" "contentious" -2
"493" "contestable" -2
"494" "controversial" -2
"495" "controversially" -2
"496" "convince" 1
"497" "convinced" 1
"498" "convinces" 1
"499" "convivial" 2
"500" "cool" 1
"501" "cool stuff" 3
"502" "cornered" -2
"503" "corpse" -1
"504" "costly" -2
"505" "courage" 2
"506" "courageous" 2
"507" "courteous" 2
"508" "courtesy" 2
"509" "cover-up" -3
"510" "coward" -2
"511" "cowardly" -2
"512" "coziness" 2
"513" "cramp" -1
"514" "crap" -3
"515" "crash" -2
"516" "crazier" -2
"517" "craziest" -2
"518" "crazy" -2
"519" "creative" 2
"520" "crestfallen" -2
"521" "cried" -2
"522" "cries" -2
"523" "crime" -3
"524" "criminal" -3
"525" "criminals" -3
"526" "crisis" -3
"527" "critic" -2
"528" "criticism" -2
"529" "criticize" -2
"530" "criticized" -2
"531" "criticizes" -2
"532" "criticizing" -2
"533" "critics" -2
"534" "cruel" -3
"535" "cruelty" -3
"536" "crush" -1
"537" "crushed" -2
"538" "crushes" -1
"539" "crushing" -1
"540" "cry" -1
"541" "crying" -2
"542" "cunt" -5
"543" "curious" 1
"544" "curse" -1
"545" "cut" -1
"546" "cute" 2
"547" "cuts" -1
"548" "cutting" -1
"549" "cynic" -2
"550" "cynical" -2
"551" "cynicism" -2
"552" "damage" -3
"553" "damages" -3
"554" "damn" -4
"555" "damned" -4
"556" "damnit" -4
"557" "danger" -2
"558" "daredevil" 2
"559" "daring" 2
"560" "darkest" -2
"561" "darkness" -1
"562" "dauntless" 2
"563" "dead" -3
"564" "deadlock" -2
"565" "deafening" -1
"566" "dear" 2
"567" "dearly" 3
"568" "death" -2
"569" "debonair" 2
"570" "debt" -2
"571" "deceit" -3
"572" "deceitful" -3
"573" "deceive" -3
"574" "deceived" -3
"575" "deceives" -3
"576" "deceiving" -3
"577" "deception" -3
"578" "decisive" 1
"579" "dedicated" 2
"580" "defeated" -2
"581" "defect" -3
"582" "defects" -3
"583" "defender" 2
"584" "defenders" 2
"585" "defenseless" -2
"586" "defer" -1
"587" "deferring" -1
"588" "defiant" -1
"589" "deficit" -2
"590" "degrade" -2
"591" "degraded" -2
"592" "degrades" -2
"593" "dehumanize" -2
"594" "dehumanized" -2
"595" "dehumanizes" -2
"596" "dehumanizing" -2
"597" "deject" -2
"598" "dejected" -2
"599" "dejecting" -2
"600" "dejects" -2
"601" "delay" -1
"602" "delayed" -1
"603" "delight" 3
"604" "delighted" 3
"605" "delighting" 3
"606" "delights" 3
"607" "demand" -1
"608" "demanded" -1
"609" "demanding" -1
"610" "demands" -1
"611" "demonstration" -1
"612" "demoralized" -2
"613" "denied" -2
"614" "denier" -2
"615" "deniers" -2
"616" "denies" -2
"617" "denounce" -2
"618" "denounces" -2
"619" "deny" -2
"620" "denying" -2
"621" "depressed" -2
"622" "depressing" -2
"623" "derail" -2
"624" "derailed" -2
"625" "derails" -2
"626" "deride" -2
"627" "derided" -2
"628" "derides" -2
"629" "deriding" -2
"630" "derision" -2
"631" "desirable" 2
"632" "desire" 1
"633" "desired" 2
"634" "desirous" 2
"635" "despair" -3
"636" "despairing" -3
"637" "despairs" -3
"638" "desperate" -3
"639" "desperately" -3
"640" "despondent" -3
"641" "destroy" -3
"642" "destroyed" -3
"643" "destroying" -3
"644" "destroys" -3
"645" "destruction" -3
"646" "destructive" -3
"647" "detached" -1
"648" "detain" -2
"649" "detained" -2
"650" "detention" -2
"651" "determined" 2
"652" "devastate" -2
"653" "devastated" -2
"654" "devastating" -2
"655" "devoted" 3
"656" "diamond" 1
"657" "dick" -4
"658" "dickhead" -4
"659" "die" -3
"660" "died" -3
"661" "difficult" -1
"662" "diffident" -2
"663" "dilemma" -1
"664" "dipshit" -3
"665" "dire" -3
"666" "direful" -3
"667" "dirt" -2
"668" "dirtier" -2
"669" "dirtiest" -2
"670" "dirty" -2
"671" "disabling" -1
"672" "disadvantage" -2
"673" "disadvantaged" -2
"674" "disappear" -1
"675" "disappeared" -1
"676" "disappears" -1
"677" "disappoint" -2
"678" "disappointed" -2
"679" "disappointing" -2
"680" "disappointment" -2
"681" "disappointments" -2
"682" "disappoints" -2
"683" "disaster" -2
"684" "disasters" -2
"685" "disastrous" -3
"686" "disbelieve" -2
"687" "discard" -1
"688" "discarded" -1
"689" "discarding" -1
"690" "discards" -1
"691" "disconsolate" -2
"692" "disconsolation" -2
"693" "discontented" -2
"694" "discord" -2
"695" "discounted" -1
"696" "discouraged" -2
"697" "discredited" -2
"698" "disdain" -2
"699" "disgrace" -2
"700" "disgraced" -2
"701" "disguise" -1
"702" "disguised" -1
"703" "disguises" -1
"704" "disguising" -1
"705" "disgust" -3
"706" "disgusted" -3
"707" "disgusting" -3
"708" "disheartened" -2
"709" "dishonest" -2
"710" "disillusioned" -2
"711" "disinclined" -2
"712" "disjointed" -2
"713" "dislike" -2
"714" "dismal" -2
"715" "dismayed" -2
"716" "disorder" -2
"717" "disorganized" -2
"718" "disoriented" -2
"719" "disparage" -2
"720" "disparaged" -2
"721" "disparages" -2
"722" "disparaging" -2
"723" "displeased" -2
"724" "dispute" -2
"725" "disputed" -2
"726" "disputes" -2
"727" "disputing" -2
"728" "disqualified" -2
"729" "disquiet" -2
"730" "disregard" -2
"731" "disregarded" -2
"732" "disregarding" -2
"733" "disregards" -2
"734" "disrespect" -2
"735" "disrespected" -2
"736" "disruption" -2
"737" "disruptions" -2
"738" "disruptive" -2
"739" "dissatisfied" -2
"740" "distort" -2
"741" "distorted" -2
"742" "distorting" -2
"743" "distorts" -2
"744" "distract" -2
"745" "distracted" -2
"746" "distraction" -2
"747" "distracts" -2
"748" "distress" -2
"749" "distressed" -2
"750" "distresses" -2
"751" "distressing" -2
"752" "distrust" -3
"753" "distrustful" -3
"754" "disturb" -2
"755" "disturbed" -2
"756" "disturbing" -2
"757" "disturbs" -2
"758" "dithering" -2
"759" "dizzy" -1
"760" "dodging" -2
"761" "dodgy" -2
"762" "does not work" -3
"763" "dolorous" -2
"764" "dont like" -2
"765" "doom" -2
"766" "doomed" -2
"767" "doubt" -1
"768" "doubted" -1
"769" "doubtful" -1
"770" "doubting" -1
"771" "doubts" -1
"772" "douche" -3
"773" "douchebag" -3
"774" "downcast" -2
"775" "downhearted" -2
"776" "downside" -2
"777" "drag" -1
"778" "dragged" -1
"779" "drags" -1
"780" "drained" -2
"781" "dread" -2
"782" "dreaded" -2
"783" "dreadful" -3
"784" "dreading" -2
"785" "dream" 1
"786" "dreams" 1
"787" "dreary" -2
"788" "droopy" -2
"789" "drop" -1
"790" "drown" -2
"791" "drowned" -2
"792" "drowns" -2
"793" "drunk" -2
"794" "dubious" -2
"795" "dud" -2
"796" "dull" -2
"797" "dumb" -3
"798" "dumbass" -3
"799" "dump" -1
"800" "dumped" -2
"801" "dumps" -1
"802" "dupe" -2
"803" "duped" -2
"804" "dysfunction" -2
"805" "eager" 2
"806" "earnest" 2
"807" "ease" 2
"808" "easy" 1
"809" "ecstatic" 4
"810" "eerie" -2
"811" "eery" -2
"812" "effective" 2
"813" "effectively" 2
"814" "elated" 3
"815" "elation" 3
"816" "elegant" 2
"817" "elegantly" 2
"818" "embarrass" -2
"819" "embarrassed" -2
"820" "embarrasses" -2
"821" "embarrassing" -2
"822" "embarrassment" -2
"823" "embittered" -2
"824" "embrace" 1
"825" "emergency" -2
"826" "empathetic" 2
"827" "emptiness" -1
"828" "empty" -1
"829" "enchanted" 2
"830" "encourage" 2
"831" "encouraged" 2
"832" "encouragement" 2
"833" "encourages" 2
"834" "endorse" 2
"835" "endorsed" 2
"836" "endorsement" 2
"837" "endorses" 2
"838" "enemies" -2
"839" "enemy" -2
"840" "energetic" 2
"841" "engage" 1
"842" "engages" 1
"843" "engrossed" 1
"844" "enjoy" 2
"845" "enjoying" 2
"846" "enjoys" 2
"847" "enlighten" 2
"848" "enlightened" 2
"849" "enlightening" 2
"850" "enlightens" 2
"851" "ennui" -2
"852" "enrage" -2
"853" "enraged" -2
"854" "enrages" -2
"855" "enraging" -2
"856" "enrapture" 3
"857" "enslave" -2
"858" "enslaved" -2
"859" "enslaves" -2
"860" "ensure" 1
"861" "ensuring" 1
"862" "enterprising" 1
"863" "entertaining" 2
"864" "enthral" 3
"865" "enthusiastic" 3
"866" "entitled" 1
"867" "entrusted" 2
"868" "envies" -1
"869" "envious" -2
"870" "envy" -1
"871" "envying" -1
"872" "erroneous" -2
"873" "error" -2
"874" "errors" -2
"875" "escape" -1
"876" "escapes" -1
"877" "escaping" -1
"878" "esteemed" 2
"879" "ethical" 2
"880" "euphoria" 3
"881" "euphoric" 4
"882" "eviction" -1
"883" "evil" -3
"884" "exaggerate" -2
"885" "exaggerated" -2
"886" "exaggerates" -2
"887" "exaggerating" -2
"888" "exasperated" 2
"889" "excellence" 3
"890" "excellent" 3
"891" "excite" 3
"892" "excited" 3
"893" "excitement" 3
"894" "exciting" 3
"895" "exclude" -1
"896" "excluded" -2
"897" "exclusion" -1
"898" "exclusive" 2
"899" "excuse" -1
"900" "exempt" -1
"901" "exhausted" -2
"902" "exhilarated" 3
"903" "exhilarates" 3
"904" "exhilarating" 3
"905" "exonerate" 2
"906" "exonerated" 2
"907" "exonerates" 2
"908" "exonerating" 2
"909" "expand" 1
"910" "expands" 1
"911" "expel" -2
"912" "expelled" -2
"913" "expelling" -2
"914" "expels" -2
"915" "exploit" -2
"916" "exploited" -2
"917" "exploiting" -2
"918" "exploits" -2
"919" "exploration" 1
"920" "explorations" 1
"921" "expose" -1
"922" "exposed" -1
"923" "exposes" -1
"924" "exposing" -1
"925" "extend" 1
"926" "extends" 1
"927" "exuberant" 4
"928" "exultant" 3
"929" "exultantly" 3
"930" "fabulous" 4
"931" "fad" -2
"932" "fag" -3
"933" "faggot" -3
"934" "faggots" -3
"935" "fail" -2
"936" "failed" -2
"937" "failing" -2
"938" "fails" -2
"939" "failure" -2
"940" "failures" -2
"941" "fainthearted" -2
"942" "fair" 2
"943" "faith" 1
"944" "faithful" 3
"945" "fake" -3
"946" "fakes" -3
"947" "faking" -3
"948" "fallen" -2
"949" "falling" -1
"950" "falsified" -3
"951" "falsify" -3
"952" "fame" 1
"953" "fan" 3
"954" "fantastic" 4
"955" "farce" -1
"956" "fascinate" 3
"957" "fascinated" 3
"958" "fascinates" 3
"959" "fascinating" 3
"960" "fascist" -2
"961" "fascists" -2
"962" "fatalities" -3
"963" "fatality" -3
"964" "fatigue" -2
"965" "fatigued" -2
"966" "fatigues" -2
"967" "fatiguing" -2
"968" "favor" 2
"969" "favored" 2
"970" "favorite" 2
"971" "favorited" 2
"972" "favorites" 2
"973" "favors" 2
"974" "fear" -2
"975" "fearful" -2
"976" "fearing" -2
"977" "fearless" 2
"978" "fearsome" -2
"979" "fed up" -3
"980" "feeble" -2
"981" "feeling" 1
"982" "felonies" -3
"983" "felony" -3
"984" "fervent" 2
"985" "fervid" 2
"986" "festive" 2
"987" "fiasco" -3
"988" "fidgety" -2
"989" "fight" -1
"990" "fine" 2
"991" "fire" -2
"992" "fired" -2
"993" "firing" -2
"994" "fit" 1
"995" "fitness" 1
"996" "flagship" 2
"997" "flees" -1
"998" "flop" -2
"999" "flops" -2
"1000" "flu" -2
"1001" "flustered" -2
"1002" "focused" 2
"1003" "fond" 2
"1004" "fondness" 2
"1005" "fool" -2
"1006" "foolish" -2
"1007" "fools" -2
"1008" "forced" -1
"1009" "foreclosure" -2
"1010" "foreclosures" -2
"1011" "forget" -1
"1012" "forgetful" -2
"1013" "forgive" 1
"1014" "forgiving" 1
"1015" "forgotten" -1
"1016" "fortunate" 2
"1017" "frantic" -1
"1018" "fraud" -4
"1019" "frauds" -4
"1020" "fraudster" -4
"1021" "fraudsters" -4
"1022" "fraudulence" -4
"1023" "fraudulent" -4
"1024" "free" 1
"1025" "freedom" 2
"1026" "frenzy" -3
"1027" "fresh" 1
"1028" "friendly" 2
"1029" "fright" -2
"1030" "frightened" -2
"1031" "frightening" -3
"1032" "frikin" -2
"1033" "frisky" 2
"1034" "frowning" -1
"1035" "frustrate" -2
"1036" "frustrated" -2
"1037" "frustrates" -2
"1038" "frustrating" -2
"1039" "frustration" -2
"1040" "ftw" 3
"1041" "fuck" -4
"1042" "fucked" -4
"1043" "fucker" -4
"1044" "fuckers" -4
"1045" "fuckface" -4
"1046" "fuckhead" -4
"1047" "fucking" -4
"1048" "fucktard" -4
"1049" "fud" -3
"1050" "fuked" -4
"1051" "fuking" -4
"1052" "fulfill" 2
"1053" "fulfilled" 2
"1054" "fulfills" 2
"1055" "fuming" -2
"1056" "fun" 4
"1057" "funeral" -1
"1058" "funerals" -1
"1059" "funky" 2
"1060" "funnier" 4
"1061" "funny" 4
"1062" "furious" -3
"1063" "futile" 2
"1064" "gag" -2
"1065" "gagged" -2
"1066" "gain" 2
"1067" "gained" 2
"1068" "gaining" 2
"1069" "gains" 2
"1070" "gallant" 3
"1071" "gallantly" 3
"1072" "gallantry" 3
"1073" "generous" 2
"1074" "genial" 3
"1075" "ghost" -1
"1076" "giddy" -2
"1077" "gift" 2
"1078" "glad" 3
"1079" "glamorous" 3
"1080" "glamourous" 3
"1081" "glee" 3
"1082" "gleeful" 3
"1083" "gloom" -1
"1084" "gloomy" -2
"1085" "glorious" 2
"1086" "glory" 2
"1087" "glum" -2
"1088" "god" 1
"1089" "goddamn" -3
"1090" "godsend" 4
"1091" "good" 3
"1092" "goodness" 3
"1093" "grace" 1
"1094" "gracious" 3
"1095" "grand" 3
"1096" "grant" 1
"1097" "granted" 1
"1098" "granting" 1
"1099" "grants" 1
"1100" "grateful" 3
"1101" "gratification" 2
"1102" "grave" -2
"1103" "gray" -1
"1104" "great" 3
"1105" "greater" 3
"1106" "greatest" 3
"1107" "greed" -3
"1108" "greedy" -2
"1109" "green wash" -3
"1110" "green washing" -3
"1111" "greenwash" -3
"1112" "greenwasher" -3
"1113" "greenwashers" -3
"1114" "greenwashing" -3
"1115" "greet" 1
"1116" "greeted" 1
"1117" "greeting" 1
"1118" "greetings" 2
"1119" "greets" 1
"1120" "grey" -1
"1121" "grief" -2
"1122" "grieved" -2
"1123" "gross" -2
"1124" "growing" 1
"1125" "growth" 2
"1126" "guarantee" 1
"1127" "guilt" -3
"1128" "guilty" -3
"1129" "gullibility" -2
"1130" "gullible" -2
"1131" "gun" -1
"1132" "ha" 2
"1133" "hacked" -1
"1134" "haha" 3
"1135" "hahaha" 3
"1136" "hahahah" 3
"1137" "hail" 2
"1138" "hailed" 2
"1139" "hapless" -2
"1140" "haplessness" -2
"1141" "happiness" 3
"1142" "happy" 3
"1143" "hard" -1
"1144" "hardier" 2
"1145" "hardship" -2
"1146" "hardy" 2
"1147" "harm" -2
"1148" "harmed" -2
"1149" "harmful" -2
"1150" "harming" -2
"1151" "harms" -2
"1152" "harried" -2
"1153" "harsh" -2
"1154" "harsher" -2
"1155" "harshest" -2
"1156" "hate" -3
"1157" "hated" -3
"1158" "haters" -3
"1159" "hates" -3
"1160" "hating" -3
"1161" "haunt" -1
"1162" "haunted" -2
"1163" "haunting" 1
"1164" "haunts" -1
"1165" "havoc" -2
"1166" "healthy" 2
"1167" "heartbreaking" -3
"1168" "heartbroken" -3
"1169" "heartfelt" 3
"1170" "heaven" 2
"1171" "heavenly" 4
"1172" "heavyhearted" -2
"1173" "hell" -4
"1174" "help" 2
"1175" "helpful" 2
"1176" "helping" 2
"1177" "helpless" -2
"1178" "helps" 2
"1179" "hero" 2
"1180" "heroes" 2
"1181" "heroic" 3
"1182" "hesitant" -2
"1183" "hesitate" -2
"1184" "hid" -1
"1185" "hide" -1
"1186" "hides" -1
"1187" "hiding" -1
"1188" "highlight" 2
"1189" "hilarious" 2
"1190" "hindrance" -2
"1191" "hoax" -2
"1192" "homesick" -2
"1193" "honest" 2
"1194" "honor" 2
"1195" "honored" 2
"1196" "honoring" 2
"1197" "honour" 2
"1198" "honoured" 2
"1199" "honouring" 2
"1200" "hooligan" -2
"1201" "hooliganism" -2
"1202" "hooligans" -2
"1203" "hope" 2
"1204" "hopeful" 2
"1205" "hopefully" 2
"1206" "hopeless" -2
"1207" "hopelessness" -2
"1208" "hopes" 2
"1209" "hoping" 2
"1210" "horrendous" -3
"1211" "horrible" -3
"1212" "horrific" -3
"1213" "horrified" -3
"1214" "hostile" -2
"1215" "huckster" -2
"1216" "hug" 2
"1217" "huge" 1
"1218" "hugs" 2
"1219" "humerous" 3
"1220" "humiliated" -3
"1221" "humiliation" -3
"1222" "humor" 2
"1223" "humorous" 2
"1224" "humour" 2
"1225" "humourous" 2
"1226" "hunger" -2
"1227" "hurrah" 5
"1228" "hurt" -2
"1229" "hurting" -2
"1230" "hurts" -2
"1231" "hypocritical" -2
"1232" "hysteria" -3
"1233" "hysterical" -3
"1234" "hysterics" -3
"1235" "idiot" -3
"1236" "idiotic" -3
"1237" "ignorance" -2
"1238" "ignorant" -2
"1239" "ignore" -1
"1240" "ignored" -2
"1241" "ignores" -1
"1242" "ill" -2
"1243" "illegal" -3
"1244" "illiteracy" -2
"1245" "illness" -2
